block_id,grid_id,z,x,y,tile_url,local_relpath,tile_bbox_wgs84,request_status,image_sha256,http_status,attempt_utc,failure_reason,source_id,run_id
SSM-B001,SSM-B001-G03,18,229755,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229755/104186.png,raw_tiles/ort_riku10/z18/x229755_y104186.png,"135.520477295,34.602693554,135.521850586,34.603823915",downloaded,0c1e0695df54588776ce292b984ed8d4acbe56beda50148eef62e9c2fed93d1b,200,2026-06-25T14:26:09Z,,S007,SSM-T01C
SSM-B001,SSM-B001-G04,18,229749,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104186.png,raw_tiles/ort_riku10/z18/x229749_y104186.png,"135.512237549,34.602693554,135.513610840,34.603823915",cached,9fcb01dba71fe379b7a0e655296eba3e32c9fb8a534821450b79bfc9ef51f278,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G04,18,229750,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104186.png,raw_tiles/ort_riku10/z18/x229750_y104186.png,"135.513610840,34.602693554,135.514984131,34.603823915",cached,b12337d0469b0c36dd7139e23e45b142cbea73e0d1ab7ce6c4323a67f9995e37,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G04,18,229751,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104186.png,raw_tiles/ort_riku10/z18/x229751_y104186.png,"135.514984131,34.602693554,135.516357422,34.603823915",cached,22ef2a8aacef28fb80b9ed2e5753903e8fd1fbc27c0cb1b105884c74e30dd9b7,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G04,18,229749,104187,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104187.png,raw_tiles/ort_riku10/z18/x229749_y104187.png,"135.512237549,34.601563177,135.513610840,34.602693554",cached,15a67838e3177fb76eb89573d4c8c02bc35db9c0e5f62bd79b3d481b4b339e3a,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G04,18,229750,104187,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104187.png,raw_tiles/ort_riku10/z18/x229750_y104187.png,"135.513610840,34.601563177,135.514984131,34.602693554",cached,c15ad22e4a86bd529f3b8ff3e7d2ea58b4ab98c5abfb582720aa8ce2cf8ca47f,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G04,18,229751,104187,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104187.png,raw_tiles/ort_riku10/z18/x229751_y104187.png,"135.514984131,34.601563177,135.516357422,34.602693554",cached,7ca04e40270247bd4762b27ae8b14f55b83cea42f5d3610be53d23d82741ff9a,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G04,18,229749,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104188.png,raw_tiles/ort_riku10/z18/x229749_y104188.png,"135.512237549,34.600432785,135.513610840,34.601563177",cached,1b86dd15f7ab455c98665d1aca88afa5eb85eed7a0d94c08843e881447757042,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G04,18,229750,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104188.png,raw_tiles/ort_riku10/z18/x229750_y104188.png,"135.513610840,34.600432785,135.514984131,34.601563177",cached,898733fe2c870a0353c3644b72f987dc341c21f87558cc32159a0dfedd1159f0,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G04,18,229751,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104188.png,raw_tiles/ort_riku10/z18/x229751_y104188.png,"135.514984131,34.600432785,135.516357422,34.601563177",cached,28859559b66863a90b9e58f2dfde6a05a81adbfaa2041bf48c2ce2d53cdea898,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G05,18,229751,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104186.png,raw_tiles/ort_riku10/z18/x229751_y104186.png,"135.514984131,34.602693554,135.516357422,34.603823915",cached,22ef2a8aacef28fb80b9ed2e5753903e8fd1fbc27c0cb1b105884c74e30dd9b7,200_cached,2026-06-25T14:17:33Z,,S007,SSM-T01B
SSM-B001,SSM-B001-G05,18,229752,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229752/104186.png,raw_tiles/ort_riku10/z18/x229752_y104186.png,"135.516357422,34.602693554,135.517730713,34.603823915",cached,e7695677de440fdbd7b2a32b319c77f2c4fa4e17a7ceee43738c72ac096188a4,200_cached,2026-06-25T14:17:33Z,,S007,SSM-T01B
